New,dl_bler,ul_bler,conn_avg,conn_max,interx2in_succ_rate,interx2out_succ_rate,intraenb_succ_rate,dl_prb,ul_prb,reconfig_succ_rate
1004_0-20210901-0,7.55155514810503,14.9441289107075,27.9132851584214,43.0,97.5232198142415,100.0,100.0,45.4026031294452,59.0214082503556,100.409763050062
1004_0-20210901-1,8.68526236581831,11.8912718596108,23.0133333333333,36.0,98.1707317073171,,100.0,36.7405397727273,21.1287784090909,99.9530516431925
1004_0-20210901-2,7.18635311889069,12.1759380301974,22.1589772095609,38.0,98.0392156862745,98.7654320987654,100.0,28.5684210526316,15.33893314367,100.249376558603
1004_0-20210901-3,6.35050250463506,11.1900955204024,18.3966666666667,34.0,98.7179487179487,100.0,100.0,16.5037126600285,8.00981507823613,100.512820512821
1004_0-20210901-4,7.85969504021103,14.8233054341914,14.1738888888889,28.0,97.0149253731343,100.0,100.0,14.1335419630156,5.10971550497866,99.9231360491929
1004_0-20210901-5,8.94800439039036,25.2748220082957,12.8710394663702,29.0,97.5124378109453,100.0,99.0,15.2882788051209,6.40109530583215,100.227376080036
1004_0-20210901-6,9.90524421230943,25.0673471120801,17.4580322401334,31.0,97.3094170403588,99.7641509433962,100.0,24.0164864864865,10.1632290184922,99.8419943820225
1004_0-20210901-7,13.5710063035933,30.2418013334339,20.5911111111111,36.0,96.5753424657534,100.0,100.0,28.959573257468,17.1670981507824,98.4219944688466
1004_0-20210901-8,11.9000405440271,32.3058052708075,20.3501945525292,37.0,97.7516059957174,99.7944501541624,99.3589743589744,35.4131578947368,21.0133712660028,97.4977921695614
1004_0-20210901-9,10.5781362070927,25.4613746419103,24.2822222222222,39.0,97.9947689625109,100.0,99.7613365155131,32.5132670454546,28.5216193181818,97.5923190546529
1004_0-20210901-10,10.5262556552569,22.9368513123039,23.6859366314619,38.0,96.7112024665981,99.8509687034277,100.0,29.5581792318635,30.6771550497866,98.5258383282035
1004_0-20210901-11,10.8533537120515,22.2181869762177,22.4847137298499,39.0,96.8481375358166,100.0,100.0,29.6106827880512,29.4446657183499,97.6025662670944
